id,y_true,y_pred
property_2368365132_prodej_byt_2_kk_praha-vinohrady-manesova,9900000.0,10020829.647872461
property_3105718860_prodej_byt_2_kk_praha-hloubetin-waltariho,8876576.0,8703041.621115629
property_1122726476_prodej_byt_2_1_praha-vokovice-,7200000.0,7123661.466560909
property_3616088652_prodej_byt_2_kk_praha-holesovice-komunardu,10500000.0,8978568.693913799
property_765686348_prodej_byt_2_kk_praha-ujezd-nad-lesy-rohoznicka,7450000.0,7540052.899199599
property_1640063564_prodej_byt_2_1_praha-zabehlice-jasminova,7390000.0,7010934.921862486
property_217277004_prodej_byt_2_kk_praha-hlubocepy-silurska,8555152.0,8404168.09460231
property_1723814476_prodej_byt_2_kk_praha-kunratice-muskova,10450000.0,9662380.994814476
property_2912068940_prodej_byt_3_kk_praha-stodulky-habova,12378908.0,12523436.922565673
property_1922921036_prodej_byt_1_kk_praha-vinohrady-zahrebska,7250000.0,6594061.5765064
property_4016992844_prodej_byt_3_kk_praha-liben-brezenska,12500000.0,10480525.021864805
property_4051989068_prodej_byt_2_kk_praha-nusle-belehradska,13966400.0,16066193.475890085
property_2261197388_prodej_byt_2_kk_praha-vrsovice-zitomirska,12900000.0,12876803.371293843
property_3310060108_prodej_byt_2_kk_praha-holesovice-u-pruhonu,9500000.0,9238429.013423529
property_2898231884_prodej_byt_4_kk_praha-dolni-mecholupy-pod-lesikem,12830000.0,12915654.675513221
property_2698904140_prodej_byt_5_kk_praha-pitkovice-k-dalnici,14238000.0,14043175.964089364
property_2133414476_prodej_byt_3_kk_praha-zizkov-zerotinova,12327000.0,11407880.995664425
property_1816610124_prodej_byt_3_kk_praha-vinohrady-korunni,13500000.0,15044866.769006185
property_170025548_prodej_byt_4_1_praha-hlubocepy-dreyerova,8990000.0,8957708.726104217
property_2973114956_prodej_byt_3_1_praha-nove-mesto-palackeho-namesti,14996000.0,14869830.588195361
property_967205452_prodej_byt_1_1_praha-stare-mesto-kozi,12000000.0,9643575.454899173
property_2047566412_prodej_byt_2_kk_praha-holesovice-janovskeho,6990000.0,8137378.999192131
property_4281823820_prodej_byt_3_1_praha-hlubocepy-lamacova,6690000.0,8017391.385656826
property_3894628940_prodej_byt_2_1_praha-vinohrady-pod-karlovem,14290000.0,11309011.639667943
property_4228440652_prodej_byt_3_kk_praha-cakovice-danielova,9834388.0,9521630.41573017
property_3752911436_prodej_byt_3_kk_praha-ujezd-nad-lesy-rohoznicka,11453175.0,11566398.06768858
property_2766746188_prodej_byt_2_kk_praha-liben-davidkova,8590000.0,9495308.916150024
property_1105203788_prodej_byt_2_kk_praha-dolni-mecholupy-kryspinova,7390000.0,7588052.269243266
property_1748587084_prodej_byt_2_kk_praha-modrany-mezi-vodami,8490000.0,9747368.14986261
property_2948322380_prodej_byt_2_kk_praha-vysocany-na-harfe,11000000.0,11669694.266957063
