id,y_true,y_pred
property_3958907468_prodej_byt_3_1_praha-hloubetin-podebradska,6990000.0,7483845.576462353
property_1310376524_prodej_byt_4_kk_praha-repy-hofbauerova,14812000.0,12524674.915836666
property_3508105804_prodej_byt_3_1_praha-haje-stichova,8250000.0,8715455.010013236
property_4036645452_prodej_byt_2_kk_praha-stodulky-belohlavkova,9490000.0,9391171.30463335
property_3556811340_prodej_byt_2_kk_praha-bohnice-v-zamcich,8890000.0,8300747.128614799
property_3138265676_prodej_byt_2_kk_praha-letnany-pavla-benese,9870000.0,7664576.480224647
property_2638049868_prodej_byt_3_kk_praha-kunratice-uresova,10900000.0,9972854.478527658
property_2665047372_prodej_byt_1_kk_praha-karlin-vitkova,10022000.0,9482367.047417698
property_2314891852_prodej_byt_2_kk_praha-vysocany-ke-klicovu,9790000.0,9645330.985924687
property_2081190476_prodej_byt_3_1_praha-michle-u-botice,9970000.0,8900898.624919333
property_121860684_prodej_byt_2_kk_praha-krc-v-stihlach,5800000.0,5569900.089139382
property_2984776268_prodej_byt_2_kk_praha-nove-mesto-u-nemocenske-pojistovny,9195000.0,11145672.65664093
property_2976862796_prodej_byt_2_kk_praha-liben-ceskomoravska,6550000.0,7321711.600241984
property_2728550988_prodej_byt_3_1_praha-zabehlice-strimelicka,8890000.0,8647085.878479546
property_4075618892_prodej_byt_2_kk_praha-praha-8-krizikova,9670000.0,9076423.303323118
property_2597126732_prodej_byt_3_kk_praha-stodulky-5-maje,14932000.0,14281375.144332139
property_3554112076_prodej_byt_2_1_praha-zizkov-pod-lipami,7280000.0,7421489.98168125
property_2432332364_prodej_byt_1_1_praha-podoli-kaplicka,6950000.0,5055296.246259533
property_3207418444_prodej_byt_2_kk_praha-vokovice-africka,10400000.0,8976070.505349739
property_4258091596_prodej_byt_3_1_praha-kamyk-u-kamyku,9749000.0,8715449.334996996
property_4138177100_prodej_byt_4_1_praha-holesovice-tusarova,13490000.0,12994508.02798425
property_2978751052_prodej_byt_1_1_praha-nove-mesto-jeruzalemska,7990000.0,8908129.59097687
property_2909930060_prodej_byt_2_kk_praha-hostavice-u-hostavickeho-potoka,7390000.0,6746874.043651838
property_1726158156_prodej_byt_3_kk_praha-cakovice-marie-podvalove,10739802.0,10265027.74909175
property_2340184652_prodej_byt_3_kk_praha-kobylisy-,8990000.0,8762434.621695323
property_585839180_prodej_byt_2_kk_praha-nusle-boleslavova,10250000.0,10725159.260819145
property_393462348_prodej_byt_1_kk_praha-nove-mesto-celakovskeho-sady,7589000.0,8963685.119199235
property_229696076_prodej_byt_3_kk_praha-ujezd-nad-lesy-rohoznicka,10696715.0,10752904.37037277
property_2368365132_prodej_byt_2_kk_praha-vinohrady-manesova,9900000.0,10237403.386417305
